[      90ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:14336
[ 1969527ms] [ERROR] Received NaN for the `%s` attribute. If this is expected, cast the value to a string. y2 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1889
[ 1970143ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1970153ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1970153ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1970163ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1970163ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1970173ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1970173ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1970183ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1970183ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1970193ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1970193ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1970203ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1970203ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1970213ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1970213ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1970223ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1970223ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1970233ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1970234ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1970243ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1970243ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1970253ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1970254ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1970264ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1970264ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1970273ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1970273ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1970283ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1970283ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1970293ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1970293ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1970303ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1970304ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1970313ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1970313ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1970323ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1970323ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1970333ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1970333ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1970344ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
[ 1970344ms] [ERROR] Error: <line> attribute y2: Expected length, "NaN". @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=adcac440:1231
